,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True
82,1,3,female,29.69911764705882,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True
83,0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True
92,0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True
107,1,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,Southampton,yes,True
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
109,1,3,female,29.69911764705882,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False
110,0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False
126,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,Queenstown,no,True
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True
128,1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False
137,0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True
140,0,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False
154,0,3,male,29.69911764705882,0,0,7.3125,S,Third,man,True,Southampton,no,True
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True
158,0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,True,Southampton,no,True
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False
166,1,1,female,29.69911764705882,0,1,55.0,S,First,woman,False,Southampton,yes,False
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False
168,0,1,male,29.69911764705882,0,0,25.925,S,First,man,True,Southampton,no,True
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True
170,0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False
176,0,3,male,29.69911764705882,3,1,25.4667,S,Third,man,True,Southampton,no,False
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True
181,0,2,male,29.69911764705882,0,0,15.05,C,Second,man,True,Cherbourg,no,True
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False
185,0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,Southampton,no,True
186,1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False
187,1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
209,1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True
214,0,3,male,29.69911764705882,1,0,7.75,Q,Third,man,True,Queenstown,no,False
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True
229,0,3,female,29.69911764705882,3,1,25.4667,S,Third,woman,False,Southampton,no,False
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,Southampton,no,True
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,Southampton,no,True
235,0,3,female,29.69911764705882,0,0,7.55,S,Third,woman,False,Southampton,no,True
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,Southampton,no,False
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,Southampton,yes,False
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,no,True
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,Southampton,no,True
240,0,3,female,29.69911764705882,1,0,14.4542,C,Third,woman,False,Cherbourg,no,False
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,Southampton,no,True
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,Southampton,no,True
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,Southampton,no,True
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,Southampton,yes,False
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,Southampton,yes,False
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,Southampton,no,False
250,0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,Southampton,no,True
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,Southampton,no,False
252,0,1,male,62.0,0,0,26.55,S,First,man,True,Southampton,no,True
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,Southampton,no,False
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,Southampton,no,False
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,Cherbourg,yes,False
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,Southampton,yes,False
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False
263,0,1,male,40.0,0,0,0.0,S,First,man,True,Southampton,no,True
264,0,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,no,True
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,Southampton,no,True
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,Southampton,no,False
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,Southampton,yes,False
270,0,1,male,29.69911764705882,0,0,31.0,S,First,man,True,Southampton,no,True
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,Southampton,yes,True
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,Southampton,yes,False
273,0,1,male,37.0,0,1,29.7,C,First,man,True,Cherbourg,no,False
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,Southampton,no,True
277,0,2,male,29.69911764705882,0,0,0.0,S,Second,man,True,Southampton,no,True
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,Southampton,yes,False
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,Southampton,no,True
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,Southampton,no,True
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
284,0,1,male,29.69911764705882,0,0,26.0,S,First,man,True,Southampton,no,True
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,Cherbourg,no,True
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,Southampton,yes,True
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,yes,True
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,Cherbourg,no,True
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,Southampton,no,True
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True
298,1,1,male,29.69911764705882,0,0,30.5,S,First,man,True,Southampton,yes,True
301,1,3,male,29.69911764705882,2,0,23.25,Q,Third,man,True,Queenstown,yes,False
302,0,3,male,19.0,0,0,0.0,S,Third,man,True,Southampton,no,True
303,1,2,female,29.69911764705882,0,0,12.35,Q,Second,woman,False,Queenstown,yes,True
308,0,2,male,30.0,1,0,24.0,C,Second,man,True,Cherbourg,no,False
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,Cherbourg,yes,True
312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,Southampton,no,False
314,0,2,male,43.0,1,1,26.25,S,Second,man,True,Southampton,no,False
315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,Southampton,yes,True
316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,Southampton,no,True
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,Queenstown,yes,True
323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,Southampton,yes,False
326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,Southampton,no,True
327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True
328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,Southampton,yes,False
329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,Cherbourg,yes,False
330,1,3,female,29.69911764705882,2,0,23.25,Q,Third,woman,False,Queenstown,yes,False
331,0,1,male,45.5,0,0,28.5,S,First,man,True,Southampton,no,True
333,0,3,male,16.0,2,0,18.0,S,Third,man,True,Southampton,no,False
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
339,0,1,male,45.0,0,0,35.5,S,First,man,True,Southampton,no,True
340,1,2,male,2.0,1,1,26.0,S,Second,child,False,Southampton,yes,False
342,0,2,male,28.0,0,0,13.0,S,Second,man,True,Southampton,no,True
344,0,2,male,36.0,0,0,13.0,S,Second,man,True,Southampton,no,True
345,1,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True
346,1,2,female,40.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True
347,1,3,female,29.69911764705882,1,0,16.1,S,Third,woman,False,Southampton,yes,False
348,1,3,male,3.0,1,1,15.9,S,Third,child,False,Southampton,yes,False
349,0,3,male,42.0,0,0,8.6625,S,Third,man,True,Southampton,no,True
350,0,3,male,23.0,0,0,9.225,S,Third,man,True,Southampton,no,True
351,0,1,male,29.69911764705882,0,0,35.0,S,First,man,True,Southampton,no,True
352,0,3,male,15.0,1,1,7.2292,C,Third,child,False,Cherbourg,no,False
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,Southampton,no,False
356,1,1,female,22.0,0,1,55.0,S,First,woman,False,Southampton,yes,False
357,0,2,female,38.0,0,0,13.0,S,Second,woman,False,Southampton,no,True
360,0,3,male,40.0,1,4,27.9,S,Third,man,True,Southampton,no,False
361,0,2,male,29.0,1,0,27.7208,C,Second,man,True,Cherbourg,no,False
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,Cherbourg,no,False
363,0,3,male,35.0,0,0,7.05,S,Third,man,True,Southampton,no,True
365,0,3,male,30.0,0,0,7.25,S,Third,man,True,Southampton,no,True
367,1,3,female,29.69911764705882,0,0,7.2292,C,Third,woman,False,Cherbourg,yes,True
370,1,1,male,25.0,1,0,55.4417,C,First,man,True,Cherbourg,yes,False
371,0,3,male,18.0,1,0,6.4958,S,Third,man,True,Southampton,no,False
372,0,3,male,19.0,0,0,8.05,S,Third,man,True,Southampton,no,True
374,0,3,female,3.0,3,1,21.075,S,Third,child,False,Southampton,no,False
376,1,3,female,22.0,0,0,7.25,S,Third,woman,False,Southampton,yes,True
378,0,3,male,20.0,0,0,4.0125,C,Third,man,True,Cherbourg,no,True
379,0,3,male,19.0,0,0,7.775,S,Third,man,True,Southampton,no,True
381,1,3,female,1.0,0,2,15.7417,C,Third,child,False,Cherbourg,yes,False
382,0,3,male,32.0,0,0,7.925,S,Third,man,True,Southampton,no,True
383,1,1,female,35.0,1,0,52.0,S,First,woman,False,Southampton,yes,False
386,0,3,male,1.0,5,2,46.9,S,Third,child,False,Southampton,no,False
388,0,3,male,29.69911764705882,0,0,7.7292,Q,Third,man,True,Queenstown,no,True
389,1,2,female,17.0,0,0,12.0,C,Second,woman,False,Cherbourg,yes,True
391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True
392,0,3,male,28.0,2,0,7.925,S,Third,man,True,Southampton,no,False
394,1,3,female,24.0,0,2,16.7,S,Third,woman,False,Southampton,yes,False
395,0,3,male,22.0,0,0,7.7958,S,Third,man,True,Southampton,no,True
396,0,3,female,31.0,0,0,7.8542,S,Third,woman,False,Southampton,no,True
397,0,2,male,46.0,0,0,26.0,S,Second,man,True,Southampton,no,True
398,0,2,male,23.0,0,0,10.5,S,Second,man,True,Southampton,no,True
399,1,2,female,28.0,0,0,12.65,S,Second,woman,False,Southampton,yes,True
400,1,3,male,39.0,0,0,7.925,S,Third,man,True,Southampton,yes,True
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,Southampton,no,True
402,0,3,female,21.0,1,0,9.825,S,Third,woman,False,Southampton,no,False
403,0,3,male,28.0,1,0,15.85,S,Third,man,True,Southampton,no,False
404,0,3,female,20.0,0,0,8.6625,S,Third,woman,False,Southampton,no,True
405,0,2,male,34.0,1,0,21.0,S,Second,man,True,Southampton,no,False
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,Southampton,no,True
407,1,2,male,3.0,1,1,18.75,S,Second,child,False,Southampton,yes,False
408,0,3,male,21.0,0,0,7.775,S,Third,man,True,Southampton,no,True
411,0,3,male,29.69911764705882,0,0,6.8583,Q,Third,man,True,Queenstown,no,True
414,1,3,male,44.0,0,0,7.925,S,Third,man,True,Southampton,yes,True
415,0,3,female,29.69911764705882,0,0,8.05,S,Third,woman,False,Southampton,no,True
416,1,2,female,34.0,1,1,32.5,S,Second,woman,False,Southampton,yes,False
417,1,2,female,18.0,0,2,13.0,S,Second,woman,False,Southampton,yes,False
419,0,3,female,10.0,0,2,24.15,S,Third,child,False,Southampton,no,False
421,0,3,male,21.0,0,0,7.7333,Q,Third,man,True,Queenstown,no,True
422,0,3,male,29.0,0,0,7.875,S,Third,man,True,Southampton,no,True
423,0,3,female,28.0,1,1,14.4,S,Third,woman,False,Southampton,no,False
424,0,3,male,18.0,1,1,20.2125,S,Third,man,True,Southampton,no,False
426,1,2,female,28.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False
427,1,2,female,19.0,0,0,26.0,S,Second,woman,False,Southampton,yes,True
429,1,3,male,32.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
430,1,1,male,28.0,0,0,26.55,S,First,man,True,Southampton,yes,True
432,1,2,female,42.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False
433,0,3,male,17.0,0,0,7.125,S,Third,man,True,Southampton,no,True
434,0,1,male,50.0,1,0,55.9,S,First,man,True,Southampton,no,False
436,0,3,female,21.0,2,2,34.375,S,Third,woman,False,Southampton,no,False
437,1,2,female,24.0,2,3,18.75,S,Second,woman,False,Southampton,yes,False
439,0,2,male,31.0,0,0,10.5,S,Second,man,True,Southampton,no,True
440,1,2,female,45.0,1,1,26.25,S,Second,woman,False,Southampton,yes,False
441,0,3,male,20.0,0,0,9.5,S,Third,man,True,Southampton,no,True
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,Southampton,no,False
443,1,2,female,28.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True
444,1,3,male,29.69911764705882,0,0,8.1125,S,Third,man,True,Southampton,yes,True
446,1,2,female,13.0,0,1,19.5,S,Second,child,False,Southampton,yes,False
447,1,1,male,34.0,0,0,26.55,S,First,man,True,Southampton,yes,True
448,1,3,female,5.0,2,1,19.2583,C,Third,child,False,Cherbourg,yes,False
449,1,1,male,52.0,0,0,30.5,S,First,man,True,Southampton,yes,True
450,0,2,male,36.0,1,2,27.75,S,Second,man,True,Southampton,no,False
451,0,3,male,29.69911764705882,1,0,19.9667,S,Third,man,True,Southampton,no,False
452,0,1,male,30.0,0,0,27.75,C,First,man,True,Cherbourg,no,True
455,1,3,male,29.0,0,0,7.8958,C,Third,man,True,Cherbourg,yes,True
