,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
45,0,3,1,0.46050829894713463,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
46,0,3,1,0.46050829894713463,1,0,0.23846153846153847,2,3,1,1,Queenstown,0,0
48,0,3,1,0.46050829894713463,2,0,0.3335261538461539,3,3,1,1,Cherbourg,0,0
49,0,3,0,0.27650204466813466,1,0,0.27384615384615385,1,3,2,0,Southampton,0,0
50,0,3,1,0.10349166404529726,4,1,0.6105769230769231,1,3,3,0,Southampton,0,0
51,0,3,1,0.3236866939289085,0,0,0.12000000000000001,1,3,1,1,Southampton,0,1
53,1,2,0,0.449512425290972,1,0,0.4,1,2,2,0,Southampton,1,0
55,1,1,1,0.46050829894713463,0,0,0.5461538461538462,1,1,1,1,Southampton,1,1
56,1,2,0,0.3236866939289085,0,0,0.16153846153846155,1,2,2,0,Southampton,1,1
57,0,3,1,0.441648317080843,0,0,0.11121846153846154,3,3,1,1,Cherbourg,0,1
58,1,2,0,0.07203523120478138,1,2,0.42692307692307696,1,2,3,0,Southampton,1,0
59,0,3,1,0.16640452972632902,5,2,0.7215384615384616,1,3,3,0,Southampton,0,0
60,0,3,1,0.3394149103491664,0,0,0.11121846153846154,3,3,1,1,Cherbourg,0,1
63,0,3,1,0.056307014784523435,3,2,0.42923076923076925,1,3,3,0,Southampton,0,0
64,0,1,1,0.46050829894713463,0,0,0.4264738461538462,3,1,1,1,Cherbourg,0,1
65,1,3,1,0.46050829894713463,1,1,0.23455076923076923,3,3,1,1,Cherbourg,1,0
66,1,2,0,0.449512425290972,0,0,0.16153846153846155,1,2,2,0,Southampton,1,1
67,0,3,1,0.29223026108839256,0,0,0.1255123076923077,1,3,1,1,Southampton,0,1
68,1,3,0,0.2607738282478767,4,2,0.12192307692307693,1,3,2,0,Southampton,1,0
69,0,3,1,0.4023277760301982,2,0,0.13326923076923078,1,3,1,1,Southampton,0,0
70,0,2,1,0.49669707455174583,0,0,0.16153846153846155,1,2,1,1,Southampton,0,1
71,0,3,0,0.24504561182761875,5,2,0.7215384615384616,1,3,2,0,Southampton,0,0
73,0,3,1,0.4023277760301982,1,0,0.2223723076923077,3,3,1,1,Cherbourg,0,0
74,1,3,1,0.49669707455174583,0,0,0.8691661538461539,1,3,1,1,Southampton,1,1
75,0,3,1,0.38659955960994025,0,0,0.11769230769230771,1,3,1,1,Southampton,0,1
78,1,2,1,0.006448568732305757,0,2,0.4461538461538462,1,2,3,0,Southampton,1,0
79,1,3,0,0.4652406417112299,0,0,0.19192307692307692,1,3,2,0,Southampton,1,1
80,0,3,1,0.3394149103491664,0,0,0.13846153846153847,1,3,1,1,Southampton,0,1
81,1,3,1,0.449512425290972,0,0,0.14615384615384616,1,3,1,1,Southampton,1,1
82,1,3,0,0.46050829894713463,0,0,0.11980769230769231,2,3,2,0,Queenstown,1,1
83,0,1,1,0.43378420887071406,0,0,0.7246153846153847,1,1,1,1,Southampton,0,1
84,1,2,0,0.2607738282478767,0,0,0.16153846153846155,1,2,2,0,Southampton,1,1
85,1,3,0,0.5124252909720037,3,0,0.24384615384615385,1,3,2,0,Southampton,1,0
86,0,3,1,0.24504561182761875,1,3,0.5288461538461539,1,3,1,1,Southampton,0,0
89,0,3,1,0.3708713431896823,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
90,0,3,1,0.449512425290972,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
91,0,3,1,0.3079584775086505,0,0,0.12083384615384615,1,3,1,1,Southampton,0,1
92,0,1,1,0.716892104435357,1,0,0.9411538461538461,1,1,1,1,Southampton,0,0
93,0,3,1,0.4023277760301982,1,2,0.31653846153846155,1,3,1,1,Southampton,0,0
94,0,3,1,0.9213589178987103,0,0,0.11153846153846154,1,3,1,1,Southampton,0,1
97,1,1,1,0.35514312676942433,0,1,0.9747430769230769,3,1,1,1,Cherbourg,1,0
98,1,2,0,0.5281535073922617,0,1,0.35384615384615387,1,2,2,0,Southampton,1,0
99,0,2,1,0.5281535073922617,1,0,0.4,1,2,1,1,Southampton,0,0
100,0,3,0,0.43378420887071406,0,0,0.12147384615384617,1,3,2,0,Southampton,0,1
103,0,3,1,0.5124252909720037,0,0,0.13314153846153845,1,3,1,1,Southampton,0,1
104,0,3,1,0.5753381566530356,2,0,0.12192307692307693,1,3,1,1,Southampton,0,0
105,0,3,1,0.43378420887071406,0,0,0.12147384615384617,1,3,1,1,Southampton,0,1
106,1,3,0,0.3236866939289085,0,0,0.11769230769230771,1,3,2,0,Southampton,1,1
107,1,3,1,0.46050829894713463,0,0,0.11961538461538462,1,3,1,1,Southampton,1,1
108,0,3,1,0.5910663730732935,0,0,0.12147384615384617,1,3,1,1,Southampton,0,1
109,1,3,0,0.46050829894713463,1,0,0.37153846153846154,2,3,2,0,Queenstown,1,0
110,0,1,1,0.732620320855615,0,0,0.8,1,1,1,1,Southampton,0,1
111,0,3,0,0.22145328719723184,1,0,0.2223723076923077,3,3,3,0,Cherbourg,0,0
112,0,3,1,0.3394149103491664,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
113,0,3,0,0.3079584775086505,1,0,0.15115384615384614,1,3,2,0,Southampton,0,0
114,0,3,0,0.2607738282478767,0,0,0.22243538461538462,3,3,2,0,Cherbourg,0,1
115,0,3,1,0.3236866939289085,0,0,0.12192307692307693,1,3,1,1,Southampton,0,1
117,0,2,1,0.449512425290972,1,0,0.3230769230769231,1,2,1,1,Southampton,0,0
119,0,3,0,0.02485058194400755,4,2,0.48115384615384615,1,3,3,0,Southampton,0,0
122,0,2,1,0.5045611827618748,1,0,0.4626276923076923,3,2,1,1,Cherbourg,0,0
123,1,2,0,0.5045611827618748,0,0,0.2,1,2,2,0,Southampton,1,1
125,1,3,1,0.18213274614658698,1,0,0.17294923076923077,3,3,3,0,Cherbourg,1,0
126,0,3,1,0.46050829894713463,0,0,0.11923076923076924,2,3,1,1,Queenstown,0,1
127,1,3,1,0.3708713431896823,0,0,0.1098723076923077,1,3,1,1,Southampton,1,1
128,1,3,0,0.46050829894713463,1,1,0.3439738461538462,3,3,2,0,Cherbourg,1,0
129,0,3,1,0.7011638880150991,0,0,0.10730769230769231,1,3,1,1,Southampton,0,1
130,0,3,1,0.5124252909720037,0,0,0.12147384615384617,3,3,1,1,Cherbourg,0,1
131,0,3,1,0.3079584775086505,0,0,0.10846153846153847,1,3,1,1,Southampton,0,1
132,0,3,0,0.732620320855615,1,0,0.2230769230769231,1,3,2,0,Southampton,0,0
134,0,2,1,0.38659955960994025,0,0,0.2,1,2,1,1,Southampton,0,1
135,0,2,1,0.35514312676942433,0,0,0.23147384615384617,3,2,1,1,Cherbourg,0,1
136,1,1,0,0.29223026108839256,0,2,0.40435846153846156,1,1,2,0,Southampton,1,0
137,0,1,1,0.5753381566530356,1,0,0.816923076923077,1,1,1,1,Southampton,0,0
138,0,3,1,0.24504561182761875,0,0,0.1417953846153846,1,3,1,1,Southampton,0,1
140,0,3,0,0.46050829894713463,0,2,0.23455076923076923,3,3,2,0,Cherbourg,0,0
141,1,3,0,0.3394149103491664,0,0,0.11923076923076924,1,3,2,0,Southampton,1,1
142,1,3,0,0.3708713431896823,1,0,0.24384615384615385,1,3,2,0,Southampton,1,0
143,0,3,1,0.29223026108839256,0,0,0.10384615384615385,2,3,1,1,Queenstown,0,1
144,0,2,1,0.27650204466813466,0,0,0.17692307692307693,1,2,1,1,Southampton,0,1
145,0,2,1,0.29223026108839256,1,1,0.5653846153846154,1,2,1,1,Southampton,0,0
146,1,3,1,0.4180559924504561,0,0,0.11993538461538462,1,3,1,1,Southampton,1,1
147,0,3,0,0.13494809688581316,2,2,0.5288461538461539,1,3,3,0,Southampton,0,0
148,0,2,1,0.5674740484429066,0,2,0.4,1,2,1,1,Southampton,0,0
149,0,2,1,0.6539792387543253,0,0,0.2,1,2,1,1,Southampton,0,1
150,0,2,1,0.7955331865366467,0,0,0.19269230769230772,1,2,1,1,Southampton,0,1
152,0,3,1,0.8663101604278075,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
153,0,3,1,0.6303869141239383,0,2,0.2230769230769231,1,3,1,1,Southampton,0,0
154,0,3,1,0.46050829894713463,0,0,0.1125,1,3,1,1,Southampton,0,1
155,0,1,1,0.7955331865366467,0,1,0.9442953846153846,3,1,1,1,Cherbourg,0,0
156,1,3,0,0.24504561182761875,0,0,0.11897384615384615,2,3,2,0,Queenstown,1,1
157,0,3,1,0.4652406417112299,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
158,0,3,1,0.46050829894713463,0,0,0.13326923076923078,1,3,1,1,Southampton,0,1
160,0,3,1,0.6854356715948411,0,1,0.24769230769230774,1,3,1,1,Southampton,0,0
161,1,2,0,0.6225228059138094,0,0,0.24230769230769234,1,2,2,0,Southampton,1,1
162,0,3,1,0.4023277760301982,0,0,0.11961538461538462,1,3,1,1,Southampton,0,1
163,0,3,1,0.2607738282478767,0,0,0.13326923076923078,1,3,1,1,Southampton,0,1
164,0,3,1,0.009122365523749607,4,1,0.6105769230769231,1,3,3,0,Southampton,0,0
165,1,3,1,0.13494809688581316,0,2,0.31576923076923075,1,3,3,0,Southampton,1,0
166,1,1,0,0.46050829894713463,0,1,0.8461538461538463,1,1,2,0,Southampton,1,0
167,0,3,0,0.7011638880150991,1,4,0.42923076923076925,1,3,2,0,Southampton,0,0
168,0,1,1,0.46050829894713463,0,0,0.3988461538461539,1,1,1,1,Southampton,0,1
169,0,3,1,0.43378420887071406,0,0,0.8691661538461539,1,3,1,1,Southampton,0,1
170,0,1,1,0.9528153507392262,0,0,0.5153846153846154,1,1,1,1,Southampton,0,1
171,0,3,1,0.056307014784523435,4,1,0.4480769230769231,2,3,3,0,Queenstown,0,0
172,1,3,0,0.009122365523749607,1,1,0.17128153846153849,1,3,3,0,Southampton,1,0
174,0,1,1,0.8741742686379365,0,0,0.47224307692307693,3,1,1,1,Cherbourg,0,1
175,0,3,1,0.27650204466813466,1,1,0.12083384615384615,1,3,1,1,Southampton,0,0
176,0,3,1,0.46050829894713463,3,1,0.3917953846153846,1,3,1,1,Southampton,0,0
177,0,1,0,0.7798049701163888,0,0,0.44173076923076926,3,1,2,0,Cherbourg,0,1
178,0,2,1,0.4652406417112299,0,0,0.2,1,2,1,1,Southampton,0,1
179,0,3,1,0.5596099402327777,0,0,0.0,1,3,1,1,Southampton,0,1
181,0,2,1,0.46050829894713463,0,0,0.23153846153846155,3,2,1,1,Cherbourg,0,1
182,0,3,1,0.13494809688581316,4,2,0.4828846153846154,1,3,3,0,Southampton,0,0
183,1,2,1,0.009122365523749607,2,1,0.6000000000000001,1,2,3,0,Southampton,1,0
184,1,3,0,0.056307014784523435,0,2,0.33884615384615385,1,3,3,0,Southampton,1,0
185,0,1,1,0.46050829894713463,0,0,0.7692307692307693,1,1,1,1,Southampton,0,1
186,1,3,0,0.46050829894713463,1,0,0.23846153846153847,2,3,2,0,Queenstown,1,0
187,1,1,1,0.7011638880150991,0,0,0.4084615384615385,1,1,1,1,Southampton,1,1
188,0,3,1,0.6225228059138094,1,1,0.23846153846153847,2,3,1,1,Queenstown,0,0
189,0,3,1,0.5596099402327777,0,0,0.12147384615384617,1,3,1,1,Southampton,0,1
190,1,2,0,0.49669707455174583,0,0,0.2,1,2,2,0,Southampton,1,1
191,0,2,1,0.29223026108839256,0,0,0.2,1,2,1,1,Southampton,0,1
192,1,3,0,0.29223026108839256,1,0,0.12083384615384615,1,3,2,0,Southampton,1,0
193,1,2,1,0.04057879836426549,1,1,0.4,1,2,3,0,Southampton,1,0
194,1,1,0,0.6854356715948411,0,0,0.4264738461538462,3,1,2,0,Cherbourg,1,1
197,0,3,1,0.6539792387543253,0,1,0.12929538461538462,1,3,1,1,Southampton,0,0
199,0,2,0,0.3708713431896823,0,0,0.2,1,2,2,0,Southampton,0,1
200,0,3,1,0.43378420887071406,0,0,0.14615384615384616,1,3,1,1,Southampton,0,1
202,0,3,1,0.5281535073922617,0,0,0.09993538461538462,1,3,1,1,Southampton,0,1
203,0,3,1,0.709027996225228,0,0,0.11115384615384616,3,3,1,1,Cherbourg,0,1
204,1,3,1,0.27650204466813466,0,0,0.12384615384615387,1,3,1,1,Southampton,1,1
205,0,3,0,0.02485058194400755,0,1,0.1609615384615385,1,3,3,0,Southampton,0,0
206,0,3,1,0.49669707455174583,1,0,0.24384615384615385,1,3,1,1,Southampton,0,0
207,1,3,1,0.4023277760301982,0,0,0.2890384615384616,3,3,1,1,Cherbourg,1,1
208,1,3,0,0.24504561182761875,0,0,0.11923076923076924,2,3,2,0,Queenstown,1,1
209,1,1,1,0.6225228059138094,0,0,0.47692307692307695,3,1,1,1,Cherbourg,1,1
210,0,3,1,0.3708713431896823,0,0,0.10846153846153847,1,3,1,1,Southampton,0,1
211,1,2,0,0.5438817238125196,0,0,0.3230769230769231,1,2,2,0,Southampton,1,1
212,0,3,1,0.3394149103491664,0,0,0.11153846153846154,1,3,1,1,Southampton,0,1
214,0,3,1,0.46050829894713463,1,0,0.11923076923076924,2,3,1,1,Queenstown,0,0
216,1,3,0,0.4180559924504561,0,0,0.12192307692307693,1,3,2,0,Southampton,1,1
217,0,2,1,0.6539792387543253,1,0,0.4153846153846154,1,2,1,1,Southampton,0,0
219,0,2,1,0.4652406417112299,0,0,0.16153846153846155,1,2,1,1,Southampton,0,1
220,1,3,1,0.24504561182761875,0,0,0.12384615384615387,1,3,1,1,Southampton,1,1
221,0,2,1,0.4180559924504561,0,0,0.2,1,2,1,1,Southampton,0,1
222,0,3,1,0.7955331865366467,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
225,0,3,1,0.3394149103491664,0,0,0.14384615384615385,1,3,1,1,Southampton,0,1
226,1,2,1,0.29223026108839256,0,0,0.16153846153846155,1,2,1,1,Southampton,1,1
227,0,3,1,0.31582258571877947,0,0,0.11153846153846154,1,3,1,1,Southampton,0,1
228,0,2,1,0.27650204466813466,0,0,0.2,1,2,1,1,Southampton,0,1
229,0,3,0,0.46050829894713463,3,1,0.3917953846153846,1,3,2,0,Southampton,0,0
231,0,3,1,0.449512425290972,0,0,0.11961538461538462,1,3,1,1,Southampton,0,1
232,0,2,1,0.9213589178987103,0,0,0.2076923076923077,1,2,1,1,Southampton,0,1
233,1,3,0,0.07203523120478138,4,2,0.4828846153846154,1,3,3,0,Southampton,1,0
234,0,2,1,0.3708713431896823,0,0,0.16153846153846155,1,2,1,1,Southampton,0,1
235,0,3,0,0.46050829894713463,0,0,0.11615384615384616,1,3,2,0,Southampton,0,1
236,0,2,1,0.6854356715948411,1,0,0.4,1,2,1,1,Southampton,0,0
237,1,2,0,0.1192198804655552,0,2,0.40384615384615385,1,2,3,0,Southampton,1,0
238,0,2,1,0.29223026108839256,0,0,0.16153846153846155,1,2,1,1,Southampton,0,1
239,0,2,1,0.5124252909720037,0,0,0.18884615384615386,1,2,1,1,Southampton,0,1
240,0,3,0,0.46050829894713463,1,0,0.2223723076923077,3,3,2,0,Cherbourg,0,0
242,0,2,1,0.449512425290972,0,0,0.16153846153846155,1,2,1,1,Southampton,0,1
243,0,3,1,0.3394149103491664,0,0,0.10961538461538461,1,3,1,1,Southampton,0,1
244,0,3,1,0.4652406417112299,0,0,0.11115384615384616,3,3,1,1,Cherbourg,0,1
246,0,3,0,0.38659955960994025,0,0,0.11961538461538462,1,3,2,0,Southampton,0,1
247,1,2,0,0.3708713431896823,0,2,0.2230769230769231,1,2,2,0,Southampton,1,0
248,1,1,1,0.5753381566530356,1,1,0.8085261538461539,1,1,1,1,Southampton,1,0
249,0,2,1,0.8427178357974205,1,0,0.4,1,2,1,1,Southampton,0,0
250,0,3,1,0.46050829894713463,0,0,0.11153846153846154,1,3,1,1,Southampton,0,1
251,0,3,0,0.449512425290972,1,1,0.1609615384615385,1,3,2,0,Southampton,0,0
252,0,1,1,0.9685435671594841,0,0,0.4084615384615385,1,1,1,1,Southampton,0,1
253,0,3,1,0.4652406417112299,1,0,0.24769230769230774,1,3,1,1,Southampton,0,0
254,0,3,0,0.6382510223340673,0,2,0.31096153846153846,1,3,2,0,Southampton,0,0
255,1,3,0,0.449512425290972,0,2,0.23455076923076923,3,3,2,0,Cherbourg,1,0
259,1,2,0,0.7798049701163888,0,1,0.4,1,2,2,0,Southampton,1,0
261,1,3,1,0.04057879836426549,4,2,0.4828846153846154,1,3,3,0,Southampton,1,0
263,0,1,1,0.6225228059138094,0,0,0.0,1,1,1,1,Southampton,0,1
264,0,3,0,0.46050829894713463,0,0,0.11923076923076924,2,3,2,0,Queenstown,0,1
265,0,2,1,0.5596099402327777,0,0,0.16153846153846155,1,2,1,1,Southampton,0,1
266,0,3,1,0.24504561182761875,4,1,0.6105769230769231,1,3,1,1,Southampton,0,0
267,1,3,1,0.38659955960994025,1,0,0.11961538461538462,1,3,1,1,Southampton,1,0
270,0,1,1,0.46050829894713463,0,0,0.47692307692307695,1,1,1,1,Southampton,0,1
271,1,3,1,0.38659955960994025,0,0,0.0,1,3,1,1,Southampton,1,1
272,1,2,0,0.6382510223340673,0,1,0.30000000000000004,1,2,2,0,Southampton,1,0
273,0,1,1,0.5753381566530356,0,1,0.45692307692307693,3,1,1,1,Cherbourg,0,0
276,0,3,0,0.7011638880150991,0,0,0.11923076923076924,1,3,2,0,Southampton,0,1
277,0,2,1,0.46050829894713463,0,0,0.0,1,2,1,1,Southampton,0,1
278,0,3,1,0.10349166404529726,4,1,0.4480769230769231,2,3,3,0,Queenstown,0,0
279,1,3,0,0.5438817238125196,1,1,0.31153846153846154,1,3,2,0,Southampton,1,0
281,0,3,1,0.43378420887071406,0,0,0.12083384615384615,1,3,1,1,Southampton,0,1
282,0,3,1,0.24504561182761875,0,0,0.14615384615384616,1,3,1,1,Southampton,0,1
283,1,3,1,0.29223026108839256,0,0,0.12384615384615387,1,3,1,1,Southampton,1,1
284,0,1,1,0.46050829894713463,0,0,0.4,1,1,1,1,Southampton,0,1
285,0,3,1,0.5124252909720037,0,0,0.13326923076923078,3,3,1,1,Cherbourg,0,1
286,1,3,1,0.4652406417112299,0,0,0.14615384615384616,1,3,1,1,Southampton,1,1
287,0,3,1,0.3394149103491664,0,0,0.12147384615384617,1,3,1,1,Southampton,0,1
288,1,2,1,0.6539792387543253,0,0,0.2,1,2,1,1,Southampton,1,1
289,1,3,0,0.3394149103491664,0,0,0.11923076923076924,2,3,2,0,Queenstown,1,1
292,0,2,1,0.5596099402327777,0,0,0.1980769230769231,3,2,1,1,Cherbourg,0,1
293,0,3,0,0.3708713431896823,0,0,0.13615384615384615,1,3,2,0,Southampton,0,1
294,0,3,1,0.3708713431896823,0,0,0.12147384615384617,1,3,1,1,Southampton,0,1
296,0,3,1,0.36300723497955334,0,0,0.11121846153846154,3,3,1,1,Cherbourg,0,1
298,1,1,1,0.46050829894713463,0,0,0.46923076923076923,1,1,1,1,Southampton,1,1
301,1,3,1,0.46050829894713463,2,0,0.3576923076923077,2,3,1,1,Queenstown,1,0
302,0,3,1,0.29223026108839256,0,0,0.0,1,3,1,1,Southampton,0,1
303,1,2,0,0.46050829894713463,0,0,0.19,2,2,2,0,Queenstown,1,1
308,0,2,1,0.4652406417112299,1,0,0.36923076923076925,3,2,1,1,Cherbourg,0,0
309,1,1,0,0.4652406417112299,0,0,0.8758338461538462,3,1,2,0,Cherbourg,1,1
312,0,2,0,0.4023277760301982,1,1,0.4,1,2,2,0,Southampton,0,0
314,0,2,1,0.6697074551745832,1,1,0.40384615384615385,1,2,1,1,Southampton,0,0
315,1,3,0,0.4023277760301982,0,0,0.12083384615384615,1,3,2,0,Southampton,1,1
316,1,2,0,0.3708713431896823,1,0,0.4,1,2,2,0,Southampton,1,0
317,0,2,1,0.8427178357974205,0,0,0.2153846153846154,1,2,1,1,Southampton,0,1
321,0,3,1,0.4180559924504561,0,0,0.12147384615384617,1,3,1,1,Southampton,0,1
322,1,2,0,0.4652406417112299,0,0,0.19,2,2,2,0,Queenstown,1,1
323,1,2,0,0.3394149103491664,1,1,0.4461538461538462,1,2,2,0,Southampton,1,0
326,0,3,1,0.9528153507392262,0,0,0.09596153846153846,1,3,1,1,Southampton,0,1
327,1,2,0,0.5596099402327777,0,0,0.2,1,2,2,0,Southampton,1,1
328,1,3,0,0.4809688581314879,1,1,0.31576923076923075,1,3,2,0,Southampton,1,0
329,1,1,0,0.24504561182761875,0,1,0.8919876923076924,3,1,2,0,Cherbourg,1,0
330,1,3,0,0.46050829894713463,2,0,0.3576923076923077,2,3,2,0,Queenstown,1,0
331,0,1,1,0.709027996225228,0,0,0.43846153846153846,1,1,1,1,Southampton,0,1
333,0,3,1,0.24504561182761875,2,0,0.27692307692307694,1,3,1,1,Southampton,0,0
338,1,3,1,0.7011638880150991,0,0,0.12384615384615387,1,3,1,1,Southampton,1,1
339,0,1,1,0.7011638880150991,0,0,0.5461538461538462,1,1,1,1,Southampton,0,1
340,1,2,1,0.02485058194400755,1,1,0.4,1,2,3,0,Southampton,1,0
342,0,2,1,0.43378420887071406,0,0,0.2,1,2,1,1,Southampton,0,1
344,0,2,1,0.5596099402327777,0,0,0.2,1,2,1,1,Southampton,0,1
345,1,2,0,0.3708713431896823,0,0,0.2,1,2,2,0,Southampton,1,1
346,1,2,0,0.6225228059138094,0,0,0.2,1,2,2,0,Southampton,1,1
347,1,3,0,0.46050829894713463,1,0,0.24769230769230774,1,3,2,0,Southampton,1,0
348,1,3,1,0.04057879836426549,1,1,0.24461538461538462,1,3,3,0,Southampton,1,0
349,0,3,1,0.6539792387543253,0,0,0.13326923076923078,1,3,1,1,Southampton,0,1
350,0,3,1,0.35514312676942433,0,0,0.14192307692307693,1,3,1,1,Southampton,0,1
351,0,1,1,0.46050829894713463,0,0,0.5384615384615385,1,1,1,1,Southampton,0,1
352,0,3,1,0.2293173954073608,1,1,0.11121846153846154,3,3,3,0,Cherbourg,0,0
353,0,3,1,0.38659955960994025,1,0,0.27384615384615385,1,3,1,1,Southampton,0,0
356,1,1,0,0.3394149103491664,0,1,0.8461538461538463,1,1,2,0,Southampton,1,0
357,0,2,0,0.5910663730732935,0,0,0.2,1,2,2,0,Southampton,0,1
360,0,3,1,0.6225228059138094,1,4,0.42923076923076925,1,3,1,1,Southampton,0,0
361,0,2,1,0.449512425290972,1,0,0.4264738461538462,3,2,1,1,Cherbourg,0,0
362,0,3,0,0.7011638880150991,0,1,0.2223723076923077,3,3,2,0,Cherbourg,0,0
363,0,3,1,0.5438817238125196,0,0,0.10846153846153847,1,3,1,1,Southampton,0,1
365,0,3,1,0.4652406417112299,0,0,0.11153846153846154,1,3,1,1,Southampton,0,1
367,1,3,0,0.46050829894713463,0,0,0.11121846153846154,3,3,2,0,Cherbourg,1,1
370,1,1,1,0.38659955960994025,1,0,0.8529492307692308,3,1,1,1,Cherbourg,1,0
371,0,3,1,0.27650204466813466,1,0,0.09993538461538462,1,3,1,1,Southampton,0,0
372,0,3,1,0.29223026108839256,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
374,0,3,0,0.04057879836426549,3,1,0.3242307692307692,1,3,3,0,Southampton,0,0
376,1,3,0,0.3394149103491664,0,0,0.11153846153846154,1,3,2,0,Southampton,1,1
378,0,3,1,0.3079584775086505,0,0,0.061730769230769235,3,3,1,1,Cherbourg,0,1
379,0,3,1,0.29223026108839256,0,0,0.11961538461538462,1,3,1,1,Southampton,0,1
381,1,3,0,0.009122365523749607,0,2,0.24218,3,3,3,0,Cherbourg,1,0
382,0,3,1,0.49669707455174583,0,0,0.12192307692307693,1,3,1,1,Southampton,0,1
383,1,1,0,0.5438817238125196,1,0,0.8,1,1,2,0,Southampton,1,0
386,0,3,1,0.009122365523749607,5,2,0.7215384615384616,1,3,3,0,Southampton,0,0
388,0,3,1,0.46050829894713463,0,0,0.11891076923076924,2,3,1,1,Queenstown,0,1
389,1,2,0,0.2607738282478767,0,0,0.18461538461538463,3,2,2,0,Cherbourg,1,1
